"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Kim English","DET",2013,407,-0.005,0.002,0.001,-0.007,0.002,0.001,-0.015,-0.01,-1.79,-0.47,-0.004,-0.007,0.003,-0.025,-2.25
"Kirk Haston","CHH",2002,77,-0.008,-0.001,-0.01,0.001,0,-0.005,0.005,0.012,-2.16,-0.33,-0.01,-0.009,-0.005,0.016,-2.49
"Kirk Haston","NOH",2003,57,-0.017,0.001,-0.007,0.001,-0.009,-0.005,-0.022,0,-5.63,0.08,-0.016,-0.006,-0.013,-0.022,-5.56
"Kirk Hinrich","ATL",2012,1237,-0.002,-0.002,-0.004,-0.005,0.002,0,-0.021,-0.007,-1.2,-0.31,-0.004,-0.009,0.002,-0.027,-1.51
"Kirk Hinrich","ATL, WAS",2011,2157,-0.005,-0.01,-0.002,-0.006,0.003,0.002,-0.026,-0.008,-2,-1.49,-0.015,-0.008,0.005,-0.034,-3.49
"Kirk Hinrich","CHI",2004,2706,0,0.006,0.002,-0.009,0.007,0.002,-0.023,-0.014,0.36,0.47,0.005,-0.007,0.01,-0.037,0.83
"Kirk Hinrich","CHI",2005,2800,0.002,0.003,0.002,-0.007,0.011,0.003,-0.025,-0.011,0.62,0.59,0.005,-0.005,0.015,-0.036,1.22
"Kirk Hinrich","CHI",2006,2955,-0.006,-0.003,0.01,-0.007,0.013,0.006,-0.026,-0.012,0.16,0.21,-0.009,0.003,0.019,-0.037,0.37
"Kirk Hinrich","CHI",2007,2839,0.001,-0.006,0.007,-0.008,0.012,0.007,-0.021,-0.012,1.04,-0.1,-0.005,-0.001,0.019,-0.033,0.94
"Kirk Hinrich","CHI",2008,2380,-0.004,0.005,0.006,-0.008,0.012,0.008,-0.018,-0.013,0.54,1.16,0,-0.003,0.02,-0.032,1.7
"Kirk Hinrich","CHI",2009,1339,-0.002,0.003,0.001,-0.004,0.006,0.006,-0.017,-0.009,-0.25,0.77,0.001,-0.004,0.012,-0.026,0.51
"Kirk Hinrich","CHI",2010,2481,-0.009,0.002,0.001,-0.006,0.006,0.002,-0.021,-0.007,-1.48,0.12,-0.007,-0.005,0.008,-0.028,-1.35
"Kirk Hinrich","CHI",2013,1764,0.001,0,0.002,-0.01,0.007,0.004,-0.024,-0.005,-0.2,0.52,0.001,-0.008,0.011,-0.03,0.33
"Kirk Hinrich","CHI",2014,2116,-0.006,0.011,0.004,-0.012,0.007,0.001,-0.019,-0.011,-0.73,1.03,0.005,-0.007,0.008,-0.03,0.3
"Kirk Hinrich","CHI",2015,1545,-0.01,0.006,-0.001,-0.008,0.002,0.002,-0.02,-0.011,-2.16,0.5,-0.004,-0.009,0.004,-0.031,-1.66
"Kirk Penney","LAC",2005,12,-0.008,-0.001,-0.011,0,-0.016,-0.004,-0.022,-0.012,-4.53,-0.83,-0.009,-0.011,-0.02,-0.034,-5.36
"Kirk Penney","MIA",2004,18,-0.012,0.001,-0.01,-0.004,-0.007,0.004,-0.016,-0.014,-4.36,0.15,-0.011,-0.014,-0.003,-0.031,-4.21
"Kirk Snyder","HOU",2007,563,-0.001,-0.001,0.001,0,0.001,-0.001,-0.009,-0.002,-0.71,-0.25,-0.002,0.001,0,-0.011,-0.96
"Kirk Snyder","HOU, MIN",2008,761,0,-0.001,0.001,0,-0.003,0.001,-0.007,0.001,-1.02,-0.18,-0.001,0,-0.002,-0.006,-1.2
"Kirk Snyder","NOK",2006,1310,-0.003,-0.003,-0.001,-0.005,0.004,0,-0.005,-0.008,-0.26,-0.78,-0.005,-0.006,0.004,-0.012,-1.04
"Kirk Snyder","UTA",2005,906,-0.002,-0.004,-0.003,-0.006,0.001,0,0.004,-0.004,-0.53,-0.74,-0.006,-0.009,0.002,-0.001,-1.27
"Klay Thompson","GSW",2012,1608,0.006,0.006,0,-0.007,0.007,-0.001,-0.02,-0.011,1,-0.07,0.012,-0.007,0.007,-0.031,0.93
"Klay Thompson","GSW",2013,2936,0.013,0.004,0.004,-0.007,0.007,-0.002,-0.022,-0.011,2.04,-0.18,0.017,-0.003,0.004,-0.032,1.86
"Klay Thompson","GSW",2014,2868,0.011,0.01,0.007,-0.004,0.007,-0.003,-0.017,-0.015,2.61,0.71,0.021,0.003,0.004,-0.032,3.32
"Klay Thompson","GSW",2015,2152,0.014,0.008,0.008,0.001,0.007,0,-0.02,-0.02,3.04,0.92,0.022,0.009,0.007,-0.039,3.95
"Kobe Bryant","LAL",2001,2783,0.004,0.011,0.021,-0.007,0.011,0.002,0.006,-0.011,4.61,1.36,0.015,0.013,0.013,-0.005,5.97
