"Name","Tm","Season","MP","EFG.O","EFG.D","FT.O","FT.D","TOV.O","TOV.D","REB.O","REB.D","MRG.O","MRG.D","EFG","FT","TOV","REB","NET"
"Andrew Bogut","MIL",2010,2229,0.009,0.005,-0.017,0.022,-0.014,-0.009,0.021,0.024,-0.08,1.72,0.014,0.005,-0.023,0.045,1.64
"Andrew Bogut","MIL",2011,2297,0.007,0.005,-0.019,0.022,-0.013,-0.008,0.019,0.025,-0.67,1.99,0.012,0.003,-0.021,0.044,1.32
"Andrew Bogut","MIL",2012,364,0.004,0.005,-0.021,0.02,-0.015,-0.002,0,0.019,-2.4,2.17,0.008,-0.001,-0.017,0.019,-0.24
"Andrew Bynum","CLE, IND",2014,516,-0.006,0.003,-0.02,0.023,-0.012,-0.011,0.028,0.015,-2.17,0.72,-0.003,0.002,-0.024,0.044,-1.45
"Andrew Bynum","LAL",2006,338,-0.016,0.002,-0.026,0.013,-0.015,-0.008,0.031,0.018,-4.4,0.73,-0.014,-0.013,-0.024,0.049,-3.67
"Andrew Bynum","LAL",2007,1793,0.006,0.004,-0.006,0.016,-0.017,-0.012,0.016,0.023,-0.66,0.85,0.01,0.01,-0.029,0.039,0.19
"Andrew Bynum","LAL",2008,1008,0.016,0,-0.01,0.019,-0.012,-0.011,0.033,0.027,2.2,0.82,0.016,0.01,-0.023,0.06,3.02
"Andrew Bynum","LAL",2009,1446,0.01,0,-0.005,0.018,-0.014,-0.01,0.025,0.019,0.97,0.57,0.011,0.013,-0.024,0.045,1.53
"Andrew Bynum","LAL",2010,1977,0.008,0.002,-0.001,0.016,-0.012,-0.007,0.025,0.019,0.92,0.99,0.01,0.015,-0.02,0.044,1.91
"Andrew Bynum","LAL",2011,1500,0.009,0.005,-0.007,0.021,-0.013,-0.01,0.038,0.025,1.39,1.63,0.015,0.014,-0.023,0.063,3.02
"Andrew Bynum","LAL",2012,2112,0.014,-0.001,-0.003,0.022,-0.017,-0.011,0.024,0.022,1.13,0.57,0.013,0.019,-0.028,0.047,1.7
"Andrew DeClercq","ORL",2001,903,-0.005,0.006,-0.019,0.007,-0.017,0.007,0.026,0.027,-2.63,3.39,0.001,-0.012,-0.011,0.054,0.76
"Andrew DeClercq","ORL",2002,633,-0.015,0.005,-0.024,0.008,-0.016,0.004,0.038,0.026,-3.75,2.83,-0.009,-0.016,-0.013,0.064,-0.92
